#stokes,freq,ind,real,imag,eta
8,1040,49,3.25738457,2.1400643,1
8,1040,50,-0.52861263,-1.4762611,1
8,1040,51,-1.48312435,4.38753827,1
8,1040,52,5.08792554,-3.46207261,1
8,1040,53,-17.76842874,-1.71156504,1
8,1040,54,36.26536891,-0.1445797,1
8,1040,55,-0.13366462,-2.69161428,1
8,1040,56,-2.11855001,0.79376298,1
8,1040,57,-0.85303644,-1.33992388,1
8,1040,58,-1.41703507,0.58266076,1
8,1040,59,-0.43311719,-0.33398576,1
8,1040,60,54.84342583,17.91535498,1
8,1040,61,1.22236994,-3.32930912,1
8,1040,62,183.0603836,-33.29304658,1
8,1040,63,4.39281499,-3.04681297,1
8,1040,64,-56.16536088,6.36573577,1
8,1040,65,-1.52070109,-0.12257777,1
5,1104,0,689.7945811,-10.19282322,1
5,1104,1,15.13439033,3.31817475,1
5,1104,2,-7.18165127,-69.58497648,1
5,1104,3,-65.30142846,-16.66780556,1
5,1104,4,-356.2970577,-46.27533034,1
5,1104,5,-0.72053192,-11.6967478,1
5,1104,6,2.16915333,-15.58280923,1
5,1104,7,18.16550077,2.70004611,1
5,1104,8,-40.67777172,1.03184286,1
5,1104,9,84.23361985,55.82628451,1
5,1104,10,157.9141488,40.63218074,1
5,1104,11,1.05512485,-13.56106112,1
5,1104,12,-419.4475659,63.57514975,1
5,1104,13,-10.53814498,14.70971096,1
5,1104,14,-22.43911272,-10.98809565,1
5,1104,15,-11.95494899,5.75453048,1
5,1104,16,-6.00151449,11.24503708,1
5,1104,17,-22.23821992,-18.326696,1
5,1104,18,-42.09346004,5.70085284,1
5,1104,19,25.94741631,19.00188085,1
5,1104,20,5.29627679,-1.60873771,1
5,1104,21,45.7167615,2.04472521,1
5,1104,22,-20.58107352,6.8462201,1
5,1104,23,10.78162833,2.31488709,1
5,1104,24,315.8158976,-1.33052362,1
5,1104,25,9.0720125,-6.70323241,1
5,1104,26,158.2134869,-12.98577591,1
5,1104,27,14.71537316,-3.95677328,1
5,1104,28,9.19328925,-6.32564353,1
5,1104,29,11.82890261,-8.1466654,1
5,1104,30,2.84036716,7.46336034,1
5,1104,31,3.23327463,12.73817663,1
5,1104,32,3.94271741,-15.08680055,1
5,1104,33,10.79146715,18.35565748,1
5,1104,34,-9.27943027,1.9576256,1
5,1104,35,-40.55014063,-25.04998985,1
5,1104,36,-9.40828143,1.67184998,1
5,1104,37,1.42001548,-0.58744085,1
5,1104,38,-1.00934004,0.01875826,1
5,1104,39,2.51390281,-0.23301362,1
5,1104,40,-128.721015,-25.82029834,1
5,1104,41,-2.14580281,2.91628261,1
5,1104,42,-270.2867409,42.22078041,1
5,1104,43,-18.41657929,5.28035608,1
5,1104,44,-50.71652207,2.34440733,1
5,1104,45,-1.98656698,3.46732913,1
5,1104,46,-11.72846694,7.1807944,1
5,1104,47,-3.50758412,2.64080137,1
5,1104,48,-1.93274897,-10.60701035,1
5,1104,49,2.86225845,-1.79209267,1
5,1104,50,1.12050914,-0.08564193,1
5,1104,51,7.69860746,-6.76595722,1
5,1104,52,4.62085655,1.82340186,1
5,1104,53,-7.84522255,-5.42660309,1
5,1104,54,15.70847018,13.63884199,1
5,1104,55,-1.46265777,-0.71160647,1
5,1104,56,4.74994529,-0.55176982,1
5,1104,57,0.7905325,-0.3556891,1
5,1104,58,3.12121742,-0.44185217,1
5,1104,59,0.42233633,-0.09941356,1
5,1104,60,50.75660069,18.0220709,1
5,1104,61,0.49203495,-2.00917259,1
5,1104,62,198.5683267,-40.25913162,1
5,1104,63,8.17990353,-3.12861422,1
5,1104,64,-2.52438399,1.55404735,1
5,1104,65,-1.61443158,-0.3770239,1
6,1104,0,101803.0961,67738.96582,1
6,1104,1,232889.6004,-128285.3989,1
6,1104,2,2276642.38,23075635.81,1
6,1104,3,11459155.28,-24622343.45,1
6,1104,4,173217.0113,88956.88097,1
6,1104,5,-93921.78884,28617.42032,1
6,1104,6,751614.0504,-909665.3279,1
6,1104,7,588965.8719,-366379.2512,1
6,1104,8,2496346.646,26693250.2,1
6,1104,9,-5254021.45,-52479820.13,1
6,1104,10,-23000365.6,44309714.05,1
6,1104,11,-1494023.845,-1992347.725,1
6,1104,12,-303547.2295,-323697.0362,1
6,1104,13,-903269.4647,-301679.9043,1
6,1104,14,-55672.72556,259147.4824,1
6,1104,15,-138226.1019,-407200.6213,1
6,1104,16,365220.9587,-709272.7379,1
6,1104,17,395403.8574,-280806.7882,1
6,1104,18,1112253.304,15087150.5,1
6,1104,19,-3029483.714,-28757210.36,1
6,1104,20,261095.9135,-658135.5678,1
6,1104,21,-9396747.52,11543676.27,1
6,1104,22,1770915.784,1647429.07,1
6,1104,23,-2028232.903,3299099.84,1
6,1104,24,-1134701.909,-849905.4727,1
6,1104,25,-1398995.587,-643669.1175,1
6,1104,26,805777.0013,926548.4458,1
6,1104,27,2657340.041,1052090.684,1
6,1104,28,618163.238,-197003.7691,1
6,1104,29,-317333.4653,1896345.674,1
6,1104,30,-2125072.508,2307963.908,1
6,1104,31,-1413056.725,988400.568,1
6,1104,32,381615.0072,2669219.39,1
6,1104,33,-485434.8367,-7142135.861,1
6,1104,34,-273140.5578,1394053.921,1
6,1104,35,2276214.778,29533908.66,1
6,1104,36,1511662.387,-360966.1392,1
6,1104,37,-341199.079,258047.3051,1
6,1104,38,446640.9278,-525079.1587,1
6,1104,39,-583099.0137,522485.6007,1
6,1104,40,805691.9369,1112111.496,1
6,1104,41,2442518.697,895444.4009,1
6,1104,42,213680.6688,-1010987.83,1
6,1104,43,-4785933.771,-1454033.116,1
6,1104,44,-3081308.327,-1017644.282,1
6,1104,45,-607982.112,1214352.886,1
6,1104,46,-747748.5833,-173136.1154,1
6,1104,47,588642.6269,-1184939.565,1
6,1104,48,1573568.892,-1392273.757,1
6,1104,49,773125.4433,-653314.2149,1
6,1104,50,265411.3001,1442816.376,1
6,1104,51,-337467.059,-2876240.693,1
6,1104,52,148340.6326,-243911.9042,1
6,1104,53,567111.3843,5806653.967,1
6,1104,54,-1534563.946,-11792177.69,1
6,1104,55,216605.8688,-540279.8085,1
6,1104,56,-138883.7348,-123528.4384,1
6,1104,57,-249849.0616,59394.69698,1
6,1104,58,-132850.7829,-134617.1116,1
6,1104,59,-119296.6742,51117.16008,1
6,1104,60,-23566.5832,-616573.2719,1
6,1104,61,-1156627.604,-399717.5791,1
6,1104,62,-705587.1308,559153.5499,1
6,1104,63,2228237.547,636537.6745,1
6,1104,64,1748043.798,582800.5045,1
6,1104,65,-1250012.121,-25353.60806,1
7,1104,0,-4893.270097,14276.26457,1
7,1104,1,-288153.5459,-36853.4422,1
7,1104,2,22546030.49,17816886.45,1
7,1104,3,9264767.529,-65629112.36,1
7,1104,4,-92958.67699,103604.035,1
7,1104,5,114732.8303,-133281.0047,1
7,1104,6,-291573.6891,-43688.5304,1
7,1104,7,-727079.2451,-66674.75973,1
7,1104,8,25788054.81,20393351.26,1
7,1104,9,-51275234.19,-40637363.75,1
7,1104,10,-16917986.34,120750497.8,1
7,1104,11,558623.4634,-2780117.774,1
7,1104,12,-340547.9139,292419.2661,1
7,1104,13,298370.743,-215166.2709,1
7,1104,14,530175.6774,-585464.7297,1
7,1104,15,695665.5951,34852.86873,1
7,1104,16,-112771.2123,-26148.49059,1
7,1104,17,-577821.8869,-12449.51454,1
7,1104,18,14048470.65,11065614.49,1
7,1104,19,-28166465.77,-22243402.14,1
7,1104,20,-158840.8007,-70235.48691,1
7,1104,21,-4654330.029,34964821.64,1
7,1104,22,-230281.7124,1530401.883,1
7,1104,23,-1280006.927,9319190.116,1
7,1104,24,-275852.1201,133949.7112,1
7,1104,25,204388.7361,-8252.426264,1
7,1104,26,495277.0678,-492903.7209,1
7,1104,27,-563074.2028,203019.4601,1
7,1104,28,-340273.987,-124348.5333,1
7,1104,29,-1760977.586,-185755.9711,1
7,1104,30,758928.4267,107697.8589,1
7,1104,31,1203098.431,130857.9531,1
7,1104,32,3043091.225,2226573.876,1
7,1104,33,-7102869.757,-5104757.583,1
7,1104,34,908184.4446,212944.3016,1
7,1104,35,28072388.38,22042677.86,1
7,1104,36,371562.593,-2441529.533,1
7,1104,37,-114454.7568,914167.4111,1
7,1104,38,196705.615,-1606556.935,1
7,1104,39,-223282.4204,1756345.307,1
7,1104,40,905806.4441,-889811.0759,1
7,1104,41,-650166.6811,420743.2419,1
7,1104,42,-1409098.163,1690994.075,1
7,1104,43,1640101.197,-1312984.24,1
7,1104,44,409141.1921,-1266856.847,1
7,1104,45,-1015536.358,-92072.99195,1
7,1104,46,1063665.608,149458.6258,1
7,1104,47,370550.2733,37915.52396,1
7,1104,48,-769284.3825,-102992.7821,1
7,1104,49,-355987.2009,-63132.53976,1
7,1104,50,1480687.724,1323219.863,1
7,1104,51,-2644617.801,-2407729.521,1
7,1104,52,-158027.6623,152699.3702,1
7,1104,53,5673261.931,4476127.289,1
7,1104,54,-12018460.58,-9980438.285,1
7,1104,55,200195.2324,-1403977.379,1
7,1104,56,-4445.904698,-81488.36845,1
7,1104,57,-40141.28913,403890.2085,1
7,1104,58,839.1632757,-126894.9389,1
7,1104,59,-26838.50091,242179.5142,1
7,1104,60,-744378.1593,867941.6569,1
7,1104,61,332946.9107,-235716.212,1
7,1104,62,1152360.04,-1477781.596,1
7,1104,63,-815612.42,693193.2197,1
7,1104,64,-323101.5829,744355.2839,1
7,1104,65,873676.7139,-1036537.488,1
8,1104,0,-168369.4925,-307945.1648,1
8,1104,1,874473.0342,-100152.7556,1
8,1104,2,-43086140.16,17690216.92,1
8,1104,3,-53536356.44,55287916.33,1
8,1104,4,-762559.8786,-717322.068,1
8,1104,5,-512019.514,-519915.0996,1
8,1104,6,1191746.116,925010.9292,1
8,1104,7,-207488.0529,940000.5344,1
8,1104,8,-46324248.33,18980402.46,1
8,1104,9,96361727.74,-38922422.89,1
8,1104,10,108513137.9,-89713928.13,1
8,1104,11,9550201.512,16761408.35,1
8,1104,12,-1021586.075,798041.4104,1
8,1104,13,-962820.1313,-33219.17935,1
8,1104,14,1684278.788,-670533.3125,1
8,1104,15,2243214.308,-1650426.592,1
8,1104,16,-5797212.441,3592777.655,1
8,1104,17,-4648799.769,2754269.213,1
8,1104,18,-17830207.73,6387714.017,1
8,1104,19,48998772.09,-19183090.31,1
8,1104,20,-8821002.839,4554244.263,1
8,1104,21,47779653.5,-6169199.191,1
8,1104,22,-8691883.852,-10922115.08,1
8,1104,23,9696679.631,-5371706.904,1
8,1104,24,1974690.471,5529643.825,1
8,1104,25,533920.3676,2559727.04,1
8,1104,26,-4151206.376,-10061177.96,1
8,1104,27,-1890400.173,-7028184.805,1
8,1104,28,-556156.2273,4904561.054,1
8,1104,29,-4541984.02,1388251.326,1
8,1104,30,-885530.036,-5513848.458,1
8,1104,31,1039754.416,-4166063.162,1
8,1104,32,-9972758.33,4277409.793,1
8,1104,33,13847974.41,-5809924.3,1
8,1104,34,6624261.5,-2809019.851,1
8,1104,35,-50517471.39,20634121.98,1
8,1104,36,-7341826.929,-2248510.256,1
8,1104,37,1884466.549,630834.592,1
8,1104,38,-2202219.223,75968.39283,1
8,1104,39,2877569.285,231003.4263,1
8,1104,40,-2120547.217,-9272143.154,1
8,1104,41,140596.006,-3243582.324,1
8,1104,42,3423768.446,13544381.99,1
8,1104,43,-919677.1994,6107126.419,1
8,1104,44,-1999641.099,-2861619.852,1
8,1104,45,-5399902.222,-1462053.169,1
8,1104,46,-1157352.398,-2721313.074,1
8,1104,47,1076609.943,924239.7305,1
8,1104,48,1612307.806,3950010.075,1
8,1104,49,1056390.186,2074828.557,1
8,1104,50,-3937368.665,1561899.617,1
8,1104,51,5232928.714,-1996998.284,1
8,1104,52,-1377611.696,514233.5956,1
8,1104,53,-10683961.41,4300887.154,1
8,1104,54,29163159.96,-11517453.98,1
8,1104,55,-998892.1669,1360250.449,1
8,1104,56,564826.1637,525012.9654,1
8,1104,57,1117980.223,557741.6294,1
8,1104,58,585151.2069,503797.2589,1
8,1104,59,531618.4737,174402.5954,1
8,1104,60,1737884.217,7080852.105,1
8,1104,61,32426.87951,1739006.897,1
8,1104,62,-2091505.323,-9482493.661,1
8,1104,63,660830.1005,-2496729.597,1
8,1104,64,80206.87982,532871.9559,1
8,1104,65,-1736630.034,-549587.1503,1
5,1168,0,659.231885,-11.69272122,1
5,1168,1,16.58636193,2.11380279,1
5,1168,2,-38.34162805,-85.61351189,1
5,1168,3,-88.07152027,-11.30671284,1
5,1168,4,-329.5686082,-60.06214467,1
5,1168,5,-0.36217072,-14.79185575,1
5,1168,6,-1.87832877,-15.03173029,1
5,1168,7,18.19889685,-1.08065393,1
5,1168,8,-74.73544032,-7.59908506,1
5,1168,9,143.8871484,92.01509389,1
5,1168,10,197.6100049,24.69230304,1
5,1168,11,-1.33101791,-14.52309527,1
5,1168,12,-410.1286974,100.2607891,1
5,1168,13,-10.58662537,20.69579863,1
5,1168,14,-47.71466835,-6.28409038,1
5,1168,15,-7.82899131,6.23451942,1
5,1168,16,-3.93043716,13.53841607,1
5,1168,17,-27.15296529,-12.96053542,1
5,1168,18,-45.47407594,-5.53957524,1
5,1168,19,52.91189343,39.61916558,1
5,1168,20,6.49933937,-0.94250165,1
5,1168,21,53.55618223,-2.93270233,1
5,1168,22,-18.17289928,9.78469341,1
5,1168,23,13.85117263,1.06622005,1
5,1168,24,262.1737339,-24.15256702,1
5,1168,25,7.8787912,-8.02261213,1
5,1168,26,132.5784592,-15.48311729,1
5,1168,27,15.86819651,-6.6519488,1
5,1168,28,5.99756786,-8.10411883,1
5,1168,29,9.92924882,-9.64757524,1
