#stokes,freq,ind,real,imag,eta
5,2564,61,0.021338,-0.025181,1
5,2564,62,-0.001266,-0.002568,1
5,2564,63,0.000044,-0.000363,1
5,2564,64,-0.001711,-0.001474,1
5,2564,65,0.000638,-0.000741,1
5,2692,0,0.001671,-0.119431,1
5,2692,1,-0.032523,0.029248,1
5,2692,2,0.023597,-0.023179,1
5,2692,3,-0.176703,0.296006,1
5,2692,4,-0.005093,0.1802,1
5,2692,5,0.006997,-0.006517,1
5,2692,6,0.000172,-0.000024,1
5,2692,7,0.06504,-0.058447,1
5,2692,8,-0.057077,0.05555,1
5,2692,9,0.007518,-0.006763,1
5,2692,10,0.315445,-0.528488,1
5,2692,11,-0.027879,0.046631,1
5,2692,12,0.006452,-0.001885,1
5,2692,13,-0.017378,0.016186,1
5,2692,14,-0.000105,-0.000867,1
5,2692,15,-0.000131,0.000122,1
5,2692,16,-0.000314,-0.000105,1
5,2692,17,-0.025274,0.022604,1
5,2692,18,0.017665,-0.01714,1
5,2692,19,0.004248,-0.004836,1
5,2692,20,0.000127,-0.000114,1
5,2692,21,0.056576,-0.094863,1
5,2692,22,0.015779,-0.026226,1
5,2692,23,0.021352,-0.035777,1
5,2692,24,-0.002974,-0.099462,1
5,2692,25,0.011753,-0.010947,1
5,2692,26,0.000308,0.001533,1
5,2692,27,0.000053,-0.000049,1
5,2692,28,0.000211,-0.000191,1
5,2692,29,0.000328,-0.000317,1
5,2692,30,0.00012,0.000287,1
5,2692,31,-0.030868,0.027878,1
5,2692,32,0.025962,-0.025598,1
5,2692,33,0.001008,-0.000097,1
5,2692,34,-0.000344,0.000322,1
5,2692,35,-0.00417,0.003908,1
5,2692,36,-0.003149,0.005289,1
5,2692,37,0.002385,-0.004002,1
5,2692,38,-0.001716,0.002665,1
5,2692,39,0.0018,-0.003022,1
5,2692,40,-0.001977,-0.000834,1
5,2692,41,0.00554,-0.005159,1
5,2692,42,-0.000367,-0.001899,1
5,2692,43,-0.000255,0.000237,1
5,2692,44,-0.000006,0.000973,1
5,2692,45,-0.000212,0.000186,1
5,2692,46,-0.000328,0.000296,1
5,2692,47,-0.000367,0.000355,1
5,2692,48,0.000391,-0.000354,1
5,2692,49,0.018832,-0.01692,1
5,2692,50,-0.015557,0.015208,1
