#stokes,freq,ind,real,imag
5,1168,7,18.19889685,-1.08065393
5,1168,8,-74.73544032,-7.59908506
5,1168,9,143.88714841,92.01509389
5,1168,10,197.61000488,24.69230304
5,1168,11,-1.33101791,-14.52309527
5,1168,12,-410.12869739,100.26078909
5,1168,13,-10.58662537,20.69579863
5,1168,14,-47.71466835,-6.28409038
5,1168,15,-7.82899131,6.23451942
5,1168,16,-3.93043716,13.53841607
5,1168,17,-27.15296529,-12.96053542
5,1168,18,-45.47407594,-5.53957524
5,1168,19,52.91189343,39.61916558
5,1168,20,6.49933937,-0.94250165
5,1168,21,53.55618223,-2.93270233
5,1168,22,-18.17289928,9.78469341
5,1168,23,13.85117263,1.06622005
5,1168,24,262.17373389,-24.15256702
5,1168,25,7.87879120,-8.02261213
5,1168,26,132.57845916,-15.48311729
5,1168,27,15.86819651,-6.65194880
5,1168,28,5.99756786,-8.10411883
5,1168,29,9.92924882,-9.64757524
5,1168,30,2.36548630,5.91884936
5,1168,31,6.70714627,13.45091657
5,1168,32,-4.01177961,-19.53804249
5,1168,33,26.13530511,22.04913615
5,1168,34,-10.40867398,3.28311601
5,1168,35,-72.62954650,-45.07896264
5,1168,36,-7.31053229,2.56507050
5,1168,37,2.28615327,-1.06790718
5,1168,38,-0.11821179,-0.17170355
5,1168,39,2.92634809,-0.63730561
5,1168,40,-84.27616354,-17.19452835
5,1168,41,0.59141115,1.27830157
5,1168,42,-221.08453867,43.65791228
5,1168,43,-24.35896143,10.31243832
5,1168,44,-78.13295463,6.55383818
5,1168,45,-1.05155571,4.28409107
5,1168,46,-10.84342648,9.86261495
5,1168,47,-3.50952392,4.02376897
5,1168,48,-2.16287044,-11.93172495
5,1168,49,2.90286241,-4.30968439
5,1168,50,-0.32825692,-0.78253987
5,1168,51,5.39123017,-5.16101753
5,1168,52,6.64133226,0.54368745
5,1168,53,-14.17245222,-9.40747830
5,1168,54,28.97040703,21.86012558
5,1168,55,-0.68146073,-0.77058064
5,1168,56,4.41265148,-1.08523189
5,1168,57,1.05090348,-0.53275939
5,1168,58,2.63496387,-0.73562246
5,1168,59,0.34635429,-0.15660492
5,1168,60,39.66319389,14.97290438
5,1168,61,-1.31356836,-1.35207087
5,1168,62,188.27347646,-47.45353989
5,1168,63,12.79213050,-6.59937725
5,1168,64,48.30080607,-5.43592889
5,1168,65,-1.75294265,-0.23114313
6,1168,0,-0.58005585,-0.16780062
6,1168,1,-2.36991046,2.61980234
6,1168,2,28.68532467,-48.94879513
6,1168,3,21.83139351,64.05097836
6,1168,4,-8.16049239,7.58117262
6,1168,5,-22.05382550,48.84350093
6,1168,6,-2.17791107,4.59971729
6,1168,7,2.56998473,1.29290504
6,1168,8,34.08002498,-55.74032004
6,1168,9,-66.36432528,114.79943472
6,1168,10,-42.90775420,-132.83888773
6,1168,11,13.06519304,36.49969668
6,1168,12,9.22110488,-6.29072749
6,1168,13,24.67280436,-37.02779589
6,1168,14,8.21628724,-6.05538435
6,1168,15,-3.00786941,4.22766432
6,1168,16,-1.26452799,1.74982844
6,1168,17,6.91449578,-8.37140869
6,1168,18,23.33079367,-33.96824754
6,1168,19,-43.18274607,58.48575917
6,1168,20,-3.90312605,4.34705973
6,1168,21,1.25685011,-4.97907206
6,1168,22,-3.45998585,-9.98682064
6,1168,23,-2.09392326,-6.78200922
6,1168,24,-1.13999522,-2.63792393
6,1168,25,-6.58305123,-14.01872797
6,1168,26,-10.85537144,7.38244634
6,1168,27,-12.63721519,26.90420861
6,1168,28,-3.28756366,1.81111145
6,1168,29,4.73836011,-6.55977940
6,1168,30,1.42148035,-4.70666082
6,1168,31,-3.37311109,2.17281755
6,1168,32,4.59268131,-3.37298312
6,1168,33,-12.59671346,14.19053512
6,1168,34,5.70603882,-4.49896356
6,1168,35,37.12580594,-60.41617788
6,1168,36,-0.60752080,-0.59039669
6,1168,37,0.72131727,2.11609095
